['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
78.0 , 4421.53846154 , 4611.79487179 , 4465.64102564 , 4208.71794872 , 4574.87179487 , 4579.48717949 , 4554.35897436 , 4282.05128205 , 4020.0 , 3867.69230769 , 4241.02564103 , 4196.41025641 , 4492.82051282 , 4492.30769231 , 1719.0 , 1692.0 , 5.543 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4421.02564103 , 4609.74358974 , 4463.07692308 , 4207.17948718 , 4575.8974359 , 4578.97435897 , 4553.33333333 , 4279.48717949 , 4018.46153846 , 3866.66666667 , 4236.92307692 , 4193.84615385 , 4491.79487179 , 4490.76923077 , 1720.0 , 1693.0 , 5.55 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4421.53846154 , 4609.74358974 , 4463.58974359 , 4207.17948718 , 4574.35897436 , 4580.0 , 4552.82051282 , 4276.92307692 , 4011.28205128 , 3863.58974359 , 4235.8974359 , 4188.71794872 , 4487.69230769 , 4491.79487179 , 1720.0 , 1692.0 , 5.558 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4420.51282051 , 4610.25641026 , 4464.61538462 , 4209.74358974 , 4573.84615385 , 4580.51282051 , 4553.84615385 , 4277.43589744 , 4011.79487179 , 3865.64102564 , 4237.94871795 , 4189.23076923 , 4488.20512821 , 4494.35897436 , 1719.0 , 1693.0 , 5.566 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4420.0 , 4610.25641026 , 4463.07692308 , 4207.69230769 , 4574.35897436 , 4578.97435897 , 4554.35897436 , 4275.8974359 , 4012.30769231 , 3867.69230769 , 4236.41025641 , 4191.79487179 , 4489.74358974 , 4493.84615385 , 1721.0 , 1693.0 , 5.573 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4421.02564103 , 4609.23076923 , 4465.64102564 , 4205.64102564 , 4574.35897436 , 4578.46153846 , 4552.30769231 , 4277.94871795 , 4015.38461538 , 3867.69230769 , 4237.43589744 , 4195.8974359 , 4491.79487179 , 4493.33333333 , 1719.0 , 1692.0 , 5.582 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4419.48717949 , 4611.28205128 , 4466.66666667 , 4207.69230769 , 4573.33333333 , 4581.53846154 , 4551.79487179 , 4279.48717949 , 4017.43589744 , 3865.12820513 , 4240.51282051 , 4194.35897436 , 4492.82051282 , 4493.84615385 , 1720.0 , 1693.0 , 5.589 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4421.53846154 , 4612.82051282 , 4465.12820513 , 4208.20512821 , 4572.82051282 , 4580.51282051 , 4553.84615385 , 4281.53846154 , 4021.02564103 , 3867.17948718 , 4243.58974359 , 4194.87179487 , 4495.8974359 , 4495.8974359 , 1720.0 , 1692.0 , 5.597 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4423.58974359 , 4610.76923077 , 4463.58974359 , 4206.66666667 , 4574.87179487 , 4578.97435897 , 4554.35897436 , 4279.48717949 , 4017.94871795 , 3868.20512821 , 4241.02564103 , 4194.87179487 , 4495.38461538 , 4495.38461538 , 1720.0 , 1693.0 , 5.605 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4421.53846154 , 4608.20512821 , 4466.66666667 , 4207.17948718 , 4575.38461538 , 4578.97435897 , 4553.33333333 , 4284.61538462 , 4021.02564103 , 3870.76923077 , 4243.07692308 , 4198.97435897 , 4498.97435897 , 4497.94871795 , 1720.0 , 1692.0 , 5.613 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4422.05128205 , 4609.74358974 , 4467.17948718 , 4208.71794872 , 4574.87179487 , 4579.48717949 , 4554.35897436 , 4288.20512821 , 4025.64102564 , 3870.76923077 , 4244.61538462 , 4197.94871795 , 4499.48717949 , 4497.43589744 , 1719.0 , 1693.0 , 5.621 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4424.61538462 , 4612.30769231 , 4467.17948718 , 4207.69230769 , 4575.38461538 , 4581.02564103 , 4554.35897436 , 4292.82051282 , 4029.74358974 , 3872.30769231 , 4248.20512821 , 4200.51282051 , 4500.0 , 4497.43589744 , 1720.0 , 1692.0 , 5.629 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4422.05128205 , 4613.33333333 , 4465.64102564 , 4206.66666667 , 4576.41025641 , 4583.07692308 , 4552.82051282 , 4294.35897436 , 4024.61538462 , 3871.79487179 , 4247.17948718 , 4201.53846154 , 4500.0 , 4496.41025641 , 1720.0 , 1693.0 , 5.636 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4420.0 , 4613.33333333 , 4464.1025641 , 4207.17948718 , 4574.35897436 , 4582.56410256 , 4553.33333333 , 4291.79487179 , 4022.56410256 , 3871.79487179 , 4244.61538462 , 4197.94871795 , 4499.48717949 , 4495.8974359 , 1720.0 , 1692.0 , 5.644 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4421.53846154 , 4613.33333333 , 4467.17948718 , 4208.71794872 , 4572.30769231 , 4581.02564103 , 4553.33333333 , 4287.69230769 , 4023.58974359 , 3870.76923077 , 4241.53846154 , 4194.35897436 , 4497.43589744 , 4496.92307692 , 1719.0 , 1693.0 , 5.652 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4421.02564103 , 4609.74358974 , 4468.71794872 , 4208.20512821 , 4572.82051282 , 4581.53846154 , 4552.82051282 , 4287.17948718 , 4022.56410256 , 3870.25641026 , 4241.53846154 , 4196.92307692 , 4496.92307692 , 4498.46153846 , 1721.0 , 1692.0 , 5.66 , 0.0 , 0.0 , 0.0 , 0.0 , 

94.0 , 4421.53846154 , 4607.69230769 , 4464.61538462 , 4207.17948718 , 4572.30769231 , 4583.07692308 , 4552.30769231 , 4285.64102564 , 4018.97435897 , 3869.74358974 , 4240.0 , 4195.38461538 , 4496.41025641 , 4495.8974359 , 1719.0 , 1692.0 , 5.668 , 0.0 , 0.0 , 0.0 , 0.0 , 

95.0 , 4422.56410256 , 4609.74358974 , 4464.1025641 , 4207.17948718 , 4571.28205128 , 4580.0 , 4552.82051282 , 4281.02564103 , 4015.38461538 , 3865.64102564 , 4236.41025641 , 4190.25641026 , 4494.35897436 , 4491.79487179 , 1721.0 , 1694.0 , 5.675 , 0.0 , 0.0 , 0.0 , 0.0 , 

96.0 , 4419.48717949 , 4611.79487179 , 4467.69230769 , 4208.71794872 , 4573.33333333 , 4578.46153846 , 4553.84615385 , 4278.46153846 , 4013.33333333 , 3863.07692308 , 4236.92307692 , 4192.30769231 , 4492.30769231 , 4492.30769231 , 1720.0 , 1692.0 , 5.683 , 0.0 , 0.0 , 0.0 , 0.0 , 

